INCIDENT_KEY,BORO,PRECINCT,JURISDICTION_CODE,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat,DAY,MONTH,YEAR,WEEKDAY,time_HOUR,time_MINUTE,time_SECOND,PERP_AGE_GROUP_MIN,PERP_AGE_GROUP_MAX,PERP_AGE_MEAN,VIC_AGE_GROUP_MIN,VIC_AGE_GROUP_MAX,VIC_AGE_MEAN
156456844,1,71,0.0,1,1,1,2,0,0,2,995298,180949,40.66334124200006,-73.96017924999995,POINT (-73.96017924999995 40.66334124200006),5,9,2016,1,4,14,0,18,24,21.0,18,24,21.0
82517243,0,42,2.0,0,1,1,3,0,1,2,1009394,242828,40.83315459900008,-73.90913931099993,POINT (-73.90913931099993 40.833154599000075),6,1,2012,0,19,55,0,18,24,21.0,18,24,21.0
90258291,1,71,0.0,0,1,1,2,3,1,2,995580,183019,40.66902257700008,-73.95915931099995,POINT (-73.95915931099995 40.66902257700008),15,4,2013,1,14,20,0,18,24,21.0,65,100,82.5
54810803,0,46,0.0,0,1,1,2,4,1,2,1011881,250411,40.85396027400003,-73.90012087499997,POINT (-73.90012087499997 40.85396027400004),11,12,2008,4,21,0,0,18,24,21.0,0,18,9.0
168780022,0,41,2.0,0,1,1,2,1,1,3,1015147,237025,40.81720877200007,-73.88837660399997,POINT (-73.88837660399999 40.81720877200007),5,9,2017,5,2,0,0,18,24,21.0,25,44,34.5
69419358,3,113,0.0,0,3,1,2,1,1,2,1039854,189798,40.687461996000025,-73.79950577899997,POINT (-73.79950577899997 40.687461996000025),31,12,2009,4,17,54,0,25,44,34.5,25,44,34.5
146291688,1,88,0.0,1,3,1,2,3,1,2,989209,192197,40.69421996400007,-73.98211859699995,POINT (-73.98211859699995 40.69421996400007),20,9,2015,3,1,40,0,25,44,34.5,65,100,82.5
47156716,1,81,0.0,0,1,1,2,1,1,2,1005218,190528,40.689615497000034,-73.92439311199998,POINT (-73.92439311199998 40.689615497000034),10,6,2008,5,20,45,0,18,24,21.0,25,44,34.5
189088906,2,34,2.0,0,1,1,2,4,1,6,"1,006,007","253,644",40.86285032,-73.92134371,POINT (-73.92134371 40.86285032),23,10,2018,5,0,32,0,18,24,21.0,0,18,9.0
88958687,3,114,0.0,1,3,1,2,1,1,2,1000365,214209,40.75462428100008,-73.94183580099997,POINT (-73.94183580099997 40.75462428100008),2,2,2013,2,21,39,0,25,44,34.5,25,44,34.5
73911288,1,77,2.0,0,1,1,2,0,1,2,1004580,183838,40.67125445700003,-73.926713851,POINT (-73.926713851 40.67125445700003),29,7,2010,4,1,34,0,18,24,21.0,18,24,21.0
47812337,0,43,0.0,0,3,1,2,1,1,2,1018438,239937,40.82518926000005,-73.87647204099994,POINT (-73.87647204099994 40.82518926000005),28,6,2008,2,14,2,0,25,44,34.5,25,44,34.5
29406944,0,43,1.0,0,1,1,6,0,1,6,1020316,239179,40.82310129900002,-73.86969046099993,POINT (-73.86969046099993 40.82310129900002),4,6,2007,1,0,28,0,18,24,21.0,18,24,21.0
74925351,1,67,0.0,0,3,1,2,0,1,2,999932,175437,40.64820501500003,-73.94348895199995,POINT (-73.94348895199995 40.64820501500003),5,10,2010,5,16,4,0,25,44,34.5,18,24,21.0
140396316,4,123,0.0,0,3,1,2,1,1,3,933020,145192,40.565054547000045,-74.18438692599993,POINT (-74.18438692599993 40.565054547000045),1,1,2015,4,1,30,0,25,44,34.5,25,44,34.5
16631504,0,42,0.0,0,1,1,2,0,1,2,1012493,241147,40.82853137300003,-73.89794763099997,POINT (-73.89794763099997 40.82853137300003),30,5,2006,5,5,0,0,18,24,21.0,18,24,21.0
86915937,0,41,0.0,1,3,1,3,1,0,3,1015346,236367,40.815402050000046,-73.88766070399998,POINT (-73.88766070399998 40.815402050000046),25,9,2012,5,14,56,0,25,44,34.5,25,44,34.5
82228619,1,71,0.0,0,1,1,2,1,1,3,995163,178527,40.656693553000025,-73.96066977199997,POINT (-73.96066977199997 40.656693553000025),18,12,2011,3,3,21,0,18,24,21.0,25,44,34.5
33160009,1,71,0.0,0,1,1,2,4,1,2,995163,178527,40.656693553000025,-73.96066977199997,POINT (-73.96066977199997 40.656693553000025),17,7,2007,5,23,30,0,18,24,21.0,0,18,9.0
146282287,0,42,0.0,0,1,1,6,0,1,3,1010752,242586,40.83248640900008,-73.90423290499997,POINT (-73.90423290499997 40.832486409000076),20,9,2015,3,1,54,0,18,24,21.0,18,24,21.0
81436543,1,69,0.0,0,1,1,2,0,1,1,1011555,170489,40.63459561400003,-73.90162374299997,POINT (-73.90162374299997 40.63459561400003),28,10,2011,0,21,0,0,18,24,21.0,18,24,21.0
46452062,3,115,0.0,0,1,1,2,1,1,2,1018714,214946,40.756594678000056,-73.87560301799994,POINT (-73.87560301799994 40.756594678000056),14,5,2008,6,3,19,0,18,24,21.0,25,44,34.5
187395040,3,105,0.0,0,3,1,2,0,1,2,"1,056,633","180,072",40.66064511,-73.7391092,POINT (-73.7391092 40.660645110000004),8,9,2018,2,23,30,0,25,44,34.5,18,24,21.0
59516114,2,25,0.0,0,3,1,2,1,1,2,1001769,234797,40.81113019400004,-73.93671450599999,POINT (-73.93671450599999 40.811130194000036),12,3,2009,4,4,6,0,25,44,34.5,25,44,34.5
74036121,1,88,2.0,1,7,1,2,1,1,2,989647,192655,40.69547681200004,-73.98053873999999,POINT (-73.98053873999999 40.69547681200004),6,8,2010,0,22,20,0,0,18,9.0,25,44,34.5
24050484,3,109,0.0,1,3,1,5,2,1,5,1032198,217060,40.76233421800004,-73.82691730799998,POINT (-73.82691730799998 40.76233421800004),25,8,2006,0,23,0,0,25,44,34.5,45,64,54.5
85333149,1,75,0.0,0,3,1,2,1,1,2,1014110,180073,40.66089336200002,-73.89237586999997,POINT (-73.89237586999997 40.66089336200002),19,6,2012,5,21,44,0,25,44,34.5,25,44,34.5
143149271,0,44,0.0,1,7,1,2,4,1,6,1007174,242892,40.83333630200008,-73.91716143599997,POINT (-73.91716143599997 40.833336302000085),22,5,2015,0,8,30,0,0,18,9.0,0,18,9.0
